Ghi chu:,Water Level (m)- Muc nuoc; Rainfall (mm)-Luong mua; ,,,,,,,,,,,,,,,,,,,,,,,,,
,RF_KienGiang,RF_LeThuy,RF_DongHoi,WL_KienGiang,WL_LeThuy,WL_DongHoi,,RF_KienGiang (t-2),RF_KienGiang (t-1),RF_KienGiang (t),RF_LeThuy (t-2),RF_LeThuy (t-1),RF_LeThuy (t),RF_LeThuy (t+1),RF_DongHoi (t-2),RF_DongHoi (t-1),RF_DongHoi (t),WL_KienGiang (t-2),WL_KienGiang (t-1),WL_KienGiang (t),WL_LeThuy (t-2),WL_LeThuy (t-1),WL_LeThuy (t),WL_DongHoi (t-2),WL_DongHoi (t-1),WL_DongHoi (t)
1/10/2010 0:00,0,0,2.6,7.55,0.75,-0.27,,0,1.2,3,0,0.2,1.4,0,2.6,2.8,8.4,7.55,7.5,7.42,0.75,0.72,0.69,-0.27,-0.18,0
1/10/2010 1:00,1.2,0.2,2.8,7.5,0.72,-0.18,,1.2,3,0,0.2,1.4,0,0,2.8,8.4,4,7.5,7.42,7.32,0.72,0.69,0.66,-0.18,0,0.13
1/10/2010 2:00,3,1.4,8.4,7.42,0.69,0,,3,0,0,1.4,0,0,0,8.4,4,0,7.42,7.32,7.19,0.69,0.66,0.63,0,0.13,0.28
1/10/2010 3:00,0,0,4,7.32,0.66,0.13,,0,0,0,0,0,0,0,4,0,0,7.32,7.19,7.06,0.66,0.63,0.6,0.13,0.28,0.44
1/10/2010 4:00,0,0,0,7.19,0.63,0.28,,0,0,1.6,0,0,0,1,0,0,0,7.19,7.06,6.94,0.63,0.6,0.57,0.28,0.44,0.56
1/10/2010 5:00,0,0,0,7.06,0.6,0.44,,0,1.6,12.4,0,0,1,0,0,0,0.8,7.06,6.94,6.89,0.6,0.57,0.55,0.44,0.56,0.62
1/10/2010 6:00,1.6,0,0,6.94,0.57,0.56,,1.6,12.4,0.2,0,1,0,0,0,0.8,3.4,6.94,6.89,6.91,0.57,0.55,0.52,0.56,0.62,0.66
1/10/2010 7:00,12.4,1,0.8,6.89,0.55,0.62,,12.4,0.2,0,1,0,0,8.2,0.8,3.4,0.6,6.89,6.91,7,0.55,0.52,0.5,0.62,0.66,0.62
1/10/2010 8:00,0.2,0,3.4,6.91,0.52,0.66,,0.2,0,0,0,0,8.2,0.2,3.4,0.6,0,6.91,7,7.1,0.52,0.5,0.49,0.66,0.62,0.55
1/10/2010 9:00,0,0,0.6,7,0.5,0.62,,0,0,0,0,8.2,0.2,0,0.6,0,0,7,7.1,7.17,0.5,0.49,0.48,0.62,0.55,0.46
1/10/2010 10:00,0,8.2,0,7.1,0.49,0.55,,0,0,1,8.2,0.2,0,8.2,0,0,9.2,7.1,7.17,7.12,0.49,0.48,0.47,0.55,0.46,0.4
1/10/2010 11:00,0,0.2,0,7.17,0.48,0.46,,0,1,2.8,0.2,0,8.2,0.2,0,9.2,0,7.17,7.12,7.07,0.48,0.47,0.48,0.46,0.4,0.4
1/10/2010 12:00,1,0,9.2,7.12,0.47,0.4,,1,2.8,0.4,0,8.2,0.2,0,9.2,0,8,7.12,7.07,7.01,0.47,0.48,0.49,0.4,0.4,0.47
1/10/2010 13:00,2.8,8.2,0,7.07,0.48,0.4,,2.8,0.4,0,8.2,0.2,0,0,0,8,0.8,7.07,7.01,6.94,0.48,0.49,0.49,0.4,0.47,0.5
1/10/2010 14:00,0.4,0.2,8,7.01,0.49,0.47,,0.4,0,0.2,0.2,0,0,0.6,8,0.8,0,7.01,6.94,6.9,0.49,0.49,0.49,0.47,0.5,0.45
1/10/2010 15:00,0,0,0.8,6.94,0.49,0.5,,0,0.2,0,0,0,0.6,2.4,0.8,0,0,6.94,6.9,6.85,0.49,0.49,0.49,0.5,0.45,0.42
1/10/2010 16:00,0.2,0,0,6.9,0.49,0.45,,0.2,0,6.6,0,0.6,2.4,11.2,0,0,0.4,6.9,6.85,6.79,0.49,0.49,0.48,0.45,0.42,0.35
1/10/2010 17:00,0,0.6,0,6.85,0.49,0.42,,0,6.6,11.6,0.6,2.4,11.2,0.6,0,0.4,9.4,6.85,6.79,6.74,0.49,0.48,0.49,0.42,0.35,0.27
1/10/2010 18:00,6.6,2.4,0.4,6.79,0.48,0.35,,6.6,11.6,0.2,2.4,11.2,0.6,0.4,0.4,9.4,2.2,6.79,6.74,6.76,0.48,0.49,0.5,0.35,0.27,0.09
1/10/2010 19:00,11.6,11.2,9.4,6.74,0.49,0.27,,11.6,0.2,2,11.2,0.6,0.4,4.4,9.4,2.2,0,6.74,6.76,6.87,0.49,0.5,0.5,0.27,0.09,-0.05
1/10/2010 20:00,0.2,0.6,2.2,6.76,0.5,0.09,,0.2,2,0.8,0.6,0.4,4.4,1.4,2.2,0,0.2,6.76,6.87,7.05,0.5,0.5,0.5,0.09,-0.05,-0.14
1/10/2010 21:00,2,0.4,0,6.87,0.5,-0.05,,2,0.8,13.4,0.4,4.4,1.4,15.6,0,0.2,0,6.87,7.05,7.28,0.5,0.5,0.52,-0.05,-0.14,-0.22
1/10/2010 22:00,0.8,4.4,0.2,7.05,0.5,-0.14,,0.8,13.4,10.4,4.4,1.4,15.6,23.2,0.2,0,2,7.05,7.28,7.56,0.5,0.52,0.54,-0.14,-0.22,-0.16
1/10/2010 23:00,13.4,1.4,0,7.28,0.52,-0.22,,13.4,10.4,9.6,1.4,15.6,23.2,6.2,0,2,6.4,7.28,7.56,7.87,0.52,0.54,0.56,-0.22,-0.16,-0.09
2/10/2010 0:00,10.4,15.6,2,7.56,0.54,-0.16,,10.4,9.6,7.2,15.6,23.2,6.2,0.2,2,6.4,0.8,7.56,7.87,8.24,0.54,0.56,0.61,-0.16,-0.09,0
2/10/2010 1:00,9.6,23.2,6.4,7.87,0.56,-0.09,,9.6,7.2,0,23.2,6.2,0.2,0,6.4,0.8,0,7.87,8.24,8.58,0.56,0.61,0.67,-0.09,0,0.17
2/10/2010 2:00,7.2,6.2,0.8,8.24,0.61,0,,7.2,0,0,6.2,0.2,0,0,0.8,0,0.4,8.24,8.58,8.92,0.61,0.67,0.8,0,0.17,0.31
2/10/2010 3:00,0,0.2,0,8.58,0.67,0.17,,0,0,0.2,0.2,0,0,0,0,0.4,0,8.58,8.92,9,0.67,0.8,0.94,0.17,0.31,0.43
2/10/2010 4:00,0,0,0.4,8.92,0.8,0.31,,0,0.2,0,0,0,0,0,0.4,0,0,8.92,9,9.13,0.8,0.94,1.06,0.31,0.43,0.56
2/10/2010 5:00,0.2,0,0,9,0.94,0.43,,0.2,0,0,0,0,0,1.4,0,0,0,9,9.13,9.1,0.94,1.06,1.17,0.43,0.56,0.7
2/10/2010 6:00,0,0,0,9.13,1.06,0.56,,0,0,1.4,0,0,1.4,1.2,0,0,3.4,9.13,9.1,8.88,1.06,1.17,1.25,0.56,0.7,0.79
2/10/2010 7:00,0,0,0,9.1,1.17,0.7,,0,1.4,2.4,0,1.4,1.2,0,0,3.4,0,9.1,8.88,8.49,1.17,1.25,1.28,0.7,0.79,0.79
